date,variable,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,confirm
6/20/2022,R,estimate,1.143164524,1.143010872,0.036964454,1.082344248,1.120776849,1.134410495,1.151823941,1.166002971,1.199141261,16
6/21/2022,R,estimate,1.142141423,1.142169861,0.033640144,1.086654085,1.121883993,1.134687879,1.150268383,1.163077775,1.194425168,14
6/22/2022,R,estimate,1.141561815,1.141192575,0.030465595,1.090762992,1.122607938,1.134594715,1.148501587,1.160537946,1.189629768,27
6/23/2022,R,estimate,1.140465799,1.140058291,0.027477639,1.094773278,1.123128382,1.134308824,1.146895331,1.157439125,1.184078556,25
6/24/2022,R,estimate,1.139095648,1.138746371,0.024715616,1.097788726,1.123233014,1.133440403,1.144767261,1.15447772,1.178641956,19
6/25/2022,R,estimate,1.137252687,1.137236883,0.022218583,1.099971068,1.123076025,1.132139823,1.142367799,1.151238562,1.173702779,26
6/26/2022,R,estimate,1.135404,1.135511247,0.020021626,1.102588689,1.12259539,1.130515198,1.140057103,1.14825573,1.169252435,16
6/27/2022,R,estimate,1.133037567,1.133552863,0.018151421,1.104934208,1.121593126,1.12895489,1.137453644,1.145333316,1.164248415,55
6/28/2022,R,estimate,1.131172197,1.131347691,0.016621062,1.104936287,1.12035133,1.126741815,1.135026675,1.142244567,1.158897942,53
6/29/2022,R,estimate,1.128816156,1.128884738,0.015424705,1.103913075,1.118551408,1.124730337,1.132407645,1.138609242,1.154419377,51
6/30/2022,R,estimate,1.125882501,1.126156414,0.014533944,1.10290032,1.116604259,1.122407616,1.129517014,1.135834728,1.150620273,69
7/1/2022,R,estimate,1.122607918,1.123158761,0.013898752,1.101055448,1.114051617,1.119664968,1.126347198,1.132258504,1.146425102,82
7/2/2022,R,estimate,1.119447245,1.119891557,0.013454584,1.098890345,1.111043352,1.116321398,1.122831223,1.128575417,1.142341178,18
7/3/2022,R,estimate,1.115821469,1.116358316,0.013133991,1.096238686,1.107914116,1.112851155,1.119105404,1.124641023,1.13865594,21
7/4/2022,R,estimate,1.111869508,1.112566189,0.012878617,1.093199597,1.104268142,1.109183744,1.114924112,1.120564067,1.134212825,16
7/5/2022,R,estimate,1.107908863,1.108525794,0.012647744,1.089558794,1.100310306,1.105055676,1.110701551,1.11625468,1.129199799,95
7/6/2022,R,estimate,1.103580912,1.104250963,0.012421573,1.085493492,1.096320347,1.100678023,1.10629828,1.111622217,1.125482831,63
7/7/2022,R,estimate,1.098901729,1.099758426,0.012199272,1.081759582,1.091920057,1.096196043,1.101746047,1.107195066,1.120926241,141
7/8/2022,R,estimate,1.09423292,1.095067452,0.011992878,1.077355828,1.087279499,1.091633857,1.097129731,1.10242999,1.11584718,146
7/9/2022,R,estimate,1.08943816,1.090199467,0.011818812,1.072634031,1.082358233,1.08670624,1.092041026,1.097356995,1.110861537,52
7/10/2022,R,estimate,1.084433492,1.085177681,0.011689436,1.067672735,1.077317464,1.081899569,1.087126792,1.092277696,1.105268173,29
7/11/2022,R,estimate,1.079379105,1.080026735,0.011607259,1.062396459,1.072369555,1.076579402,1.082080802,1.087257774,1.099934847,185
7/12/2022,R,estimate,1.074154953,1.074772378,0.011563578,1.056998452,1.067107488,1.071317315,1.076905882,1.081969607,1.094494115,197
7/13/2022,R,estimate,1.068741394,1.069441153,0.011541517,1.05152594,1.061827629,1.066399629,1.07165578,1.076372171,1.089020516,194
7/14/2022,R,estimate,1.063601965,1.064060077,0.011521615,1.046085004,1.056677557,1.060961924,1.06615627,1.070904616,1.084179657,194
7/15/2022,R,estimate,1.058259278,1.058656293,0.011487507,1.040603069,1.051471652,1.055632993,1.060797609,1.065452142,1.078429889,245
7/16/2022,R,estimate,1.052872228,1.053256684,0.011429885,1.035505783,1.046119508,1.050426732,1.055364327,1.060053456,1.072345414,76
7/17/2022,R,estimate,1.047618615,1.047887466,0.01134799,1.030138196,1.040884989,1.045237555,1.050050512,1.054724393,1.066988994,72
7/18/2022,R,estimate,1.042487385,1.042573767,0.011248833,1.024497896,1.035998349,1.039963469,1.045001139,1.049321708,1.061244923,226
7/19/2022,R,estimate,1.037448492,1.037339234,0.011144786,1.018545351,1.030909484,1.034910902,1.039821477,1.044010339,1.055460907,275
7/20/2022,R,estimate,1.032258207,1.032205695,0.011050385,1.013684982,1.025604849,1.029887226,1.034657435,1.038849095,1.050186922,304
7/21/2022,R,estimate,1.027490742,1.027192906,0.010979069,1.008780104,1.020712131,1.024989139,1.029950134,1.034010335,1.044833322,291
7/22/2022,R,estimate,1.022812493,1.022318391,0.010940382,1.004203346,1.015850908,1.020143618,1.02506421,1.029090312,1.039413332,326
7/23/2022,R,estimate,1.017997571,1.017597391,0.010937977,0.99909955,1.011270415,1.015398046,1.020419273,1.024619889,1.034502839,136
7/24/2022,R,estimate,1.013510786,1.013042905,0.010968631,0.994597261,1.006654653,1.010880696,1.016038954,1.020184276,1.029682678,101
7/25/2022,R,estimate,1.009234658,1.008665804,0.011022487,0.990231976,1.002172359,1.006550709,1.011671088,1.015848711,1.025365677,741
7/26/2022,R,estimate,1.005138782,1.004475002,0.011084654,0.986017462,0.997830005,1.00246541,1.007569437,1.011559012,1.021184535,327
7/27/2022,R,estimate,1.001000517,1.000477646,0.011138082,0.981800891,0.993837439,0.998404935,1.003475583,1.007547047,1.017457795,451
7/28/2022,R,estimate,0.997147218,0.9966793,0.011167289,0.978201182,0.99010995,0.994492781,0.999763189,1.003676725,1.013393109,388
7/29/2022,R,estimate,0.993689558,0.993084097,0.011162148,0.974281058,0.986304978,0.990856863,0.995946041,1.000091014,1.009795015,485
7/30/2022,R,estimate,0.9900597,0.989694822,0.011120741,0.97129141,0.983077739,0.987633172,0.992583396,0.996657066,1.00632074,206
7/31/2022,R,estimate,0.98687263,0.986512922,0.011050248,0.968007257,0.979935087,0.98435158,0.989417347,0.993374964,1.003105769,155
8/1/2022,R,estimate,0.983977779,0.983538451,0.010965238,0.965380075,0.976945186,0.981309874,0.986325935,0.990454619,1.000368924,543
8/2/2022,R,estimate,0.981249332,0.98076997,0.010883489,0.962773272,0.974127083,0.978554488,0.983494772,0.987558824,0.99730121,422
8/3/2022,R,estimate,0.978510317,0.978204458,0.010820596,0.960278274,0.971593899,0.97588069,0.98094763,0.984963119,0.994668192,434
8/4/2022,R,estimate,0.976279573,0.975837281,0.010785558,0.958199537,0.969258113,0.973633077,0.978505641,0.982646149,0.992256112,491
8/5/2022,R,estimate,0.974136679,0.973662271,0.010779432,0.956002419,0.967230103,0.971572586,0.976209248,0.980322593,0.9896539,474
8/6/2022,R,estimate,0.972178104,0.971671938,0.010797573,0.953910577,0.965028597,0.969752714,0.974316004,0.978332802,0.987195141,240
8/7/2022,R,estimate,0.970259735,0.96985779,0.010833868,0.951528002,0.963527347,0.967904448,0.972595044,0.976314419,0.985601557,149
8/8/2022,R,estimate,0.968593865,0.968210753,0.010884123,0.949876819,0.962072776,0.966472419,0.970860211,0.974579334,0.984714603,516
8/9/2022,R,estimate,0.967076753,0.966721606,0.010946555,0.94852661,0.960677587,0.964759145,0.969471898,0.973016312,0.9836439,520
8/10/2022,R,estimate,0.965569233,0.965381416,0.011019428,0.947189414,0.959474861,0.963318621,0.968099007,0.971858741,0.98226945,934
8/11/2022,R,estimate,0.964248604,0.9641819,0.011097985,0.946119255,0.958264266,0.962060777,0.966667726,0.97068044,0.981676956,495
8/12/2022,R,estimate,0.963227895,0.963115703,0.011173211,0.944965306,0.957157598,0.960934933,0.965564286,0.969372,0.980829845,426
