date,variable,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,confirm
6/20/2022,reported_cases,estimate,21,21.5932034,8.40085911,10,15,19,23,27,36,16
6/21/2022,reported_cases,estimate,26,27.06246877,9.714658805,13,20,24,29,33,45,14
6/22/2022,reported_cases,estimate,26,26.59070465,9.467623437,13,20,23,28,32,44,27
6/23/2022,reported_cases,estimate,31,32.03498251,11.59848161,15,24,28,33,39,53,25
6/24/2022,reported_cases,estimate,31,32.3868066,11.87515498,16,24,28,34,39,54,19
6/25/2022,reported_cases,estimate,13,13.95152424,5.679009502,6,10,12,15,18,25,26
6/26/2022,reported_cases,estimate,10,10.5902049,4.687854947,4,7,9,11,13,19,16
6/27/2022,reported_cases,estimate,42,44.02498751,15.54658726,22,33,39,46,53,72,55
6/28/2022,reported_cases,estimate,53,54.67216392,18.14997162,29,42,48,58,65,88,53
6/29/2022,reported_cases,estimate,50,51.68015992,17.30851383,27,40,46,54,62,83,51
6/30/2022,reported_cases,estimate,59,61.5872064,19.91289824,33,47,55,64,74,97,69
7/1/2022,reported_cases,estimate,58,60.79510245,20.32919074,32,46,54,64,72,98,82
7/2/2022,reported_cases,estimate,25,26.47776112,10.01766591,12,19,23,28,32,45,18
7/3/2022,reported_cases,estimate,19,19.77561219,7.367233194,9,14,17,21,24,33,21
7/4/2022,reported_cases,estimate,81,84.77161419,28.35320641,45,64,75,89,101,135,16
7/5/2022,reported_cases,estimate,99,102.055972,33.19694061,54,79,91,107,121,163,95
7/6/2022,reported_cases,estimate,94,97.2033983,31.33897108,51,76,87,101,115,151,63
7/7/2022,reported_cases,estimate,113,117.2028986,37.12426176,64,90,104,123,139,183,141
7/8/2022,reported_cases,estimate,112,115.11994,36.65623558,63,89,103,120,137,181,146
7/9/2022,reported_cases,estimate,48,49.85407296,16.81465714,25,38,44,53,60,80,52
7/10/2022,reported_cases,estimate,36,37.68765617,13.51269376,18,28,33,40,45,62,29
7/11/2022,reported_cases,estimate,150,156.4797601,49.88724,84,121,140,162,185,248,185
7/12/2022,reported_cases,estimate,185,191.2203898,60.74185463,105,147,170,199,227,301,197
7/13/2022,reported_cases,estimate,171,177.0044978,56.32000959,95,137,158,185,208,281,194
7/14/2022,reported_cases,estimate,206,214.2738631,68.19949385,115,167,191,222,256,339,194
7/15/2022,reported_cases,estimate,199,206.7301349,63.48766917,114,162,184,216,244,319,245
7/16/2022,reported_cases,estimate,85,87.72063968,28.24766218,47,68,79,92,105,140,76
7/17/2022,reported_cases,estimate,62,64.68465767,21.40864334,33,50,57,68,77,104,72
7/18/2022,reported_cases,estimate,259,267.5137431,82.12187855,148,209,238,280,316,419,226
7/19/2022,reported_cases,estimate,310,317.2943528,95.99398321,176,249,285,332,372,489,275
7/20/2022,reported_cases,estimate,281,291.0034983,91.5910721,160,227,261,301,342,466,304
7/21/2022,reported_cases,estimate,328,340.3608196,104.2317885,194,267,305,354,399,536,291
7/22/2022,reported_cases,estimate,319,326.906047,100.216272,182,255,293,342,387,506,326
7/23/2022,reported_cases,estimate,130,135.3983008,42.88813096,74,104,121,141,162,213,136
7/24/2022,reported_cases,estimate,95,98.36031984,31.51454592,53,76,87,103,118,156,101
